# num-edges , num-vertices ,mcsl_rtp
768,256
# edge num,from,to,edge price 
580,209,152,1
581,152,209,1
582,209,200,1
583,200,209,1
584,210,153,1
585,153,210,1
586,210,201,1
587,201,210,1
588,211,153,1
589,153,211,1
590,211,201,1
591,201,211,1
592,212,154,1
593,154,212,1
594,212,202,1
595,202,212,1
596,213,154,1
597,154,213,1
598,213,202,1
599,202,213,1
600,214,155,1
601,155,214,1
602,214,203,1
603,203,214,1
604,215,155,1
605,155,215,1
606,215,203,1
607,203,215,1
608,216,156,1
609,156,216,1
610,216,204,1
611,204,216,1
612,217,156,1
613,156,217,1
614,217,204,1
615,204,217,1
616,218,157,1
617,157,218,1
618,218,205,1
619,205,218,1
620,219,157,1
621,157,219,1
622,219,205,1
623,205,219,1
624,220,158,1
625,158,220,1
626,220,206,1
627,206,220,1
628,221,158,1
629,158,221,1
630,221,206,1
631,206,221,1
632,222,159,1
633,159,222,1
634,222,207,1
635,207,222,1
636,223,159,1
637,159,223,1
638,223,207,1
639,207,223,1
640,224,96,1
641,96,224,1
642,224,208,1
643,208,224,1
644,225,96,1
645,96,225,1
646,225,208,1
647,208,225,1
648,226,97,1
649,97,226,1
650,226,209,1
651,209,226,1
652,227,97,1
653,97,227,1
654,227,209,1
655,209,227,1
656,228,98,1
657,98,228,1
658,228,210,1
659,210,228,1
660,229,98,1
661,98,229,1
662,229,210,1
663,210,229,1
664,230,99,1
665,99,230,1
666,230,211,1
667,211,230,1
668,231,99,1
669,99,231,1
670,231,211,1
671,211,231,1
672,232,100,1
673,100,232,1
674,232,212,1
675,212,232,1
676,233,100,1
677,100,233,1
678,233,212,1
679,212,233,1
680,234,101,1
681,101,234,1
682,234,213,1
683,213,234,1
684,235,101,1
685,101,235,1
686,235,213,1
687,213,235,1
688,236,102,1
689,102,236,1
690,236,214,1
691,214,236,1
692,237,102,1
693,102,237,1
694,237,214,1
695,214,237,1
696,238,103,1
697,103,238,1
698,238,215,1
699,215,238,1
700,239,103,1
701,103,239,1
702,239,215,1
703,215,239,1
704,240,104,1
705,104,240,1
706,240,216,1
707,216,240,1
708,241,104,1
709,104,241,1
710,241,216,1
711,216,241,1
712,242,105,1
713,105,242,1
714,242,217,1
715,217,242,1
716,243,105,1
717,105,243,1
718,243,217,1
719,217,243,1
720,244,106,1
721,106,244,1
722,244,218,1
723,218,244,1
724,245,106,1
725,106,245,1
726,245,218,1
727,218,245,1
728,246,107,1
729,107,246,1
730,246,219,1
731,219,246,1
732,247,107,1
733,107,247,1
734,247,219,1
735,219,247,1
736,248,108,1
737,108,248,1
738,248,220,1
739,220,248,1
740,249,108,1
741,108,249,1
742,249,220,1
743,220,249,1
744,250,109,1
745,109,250,1
746,250,221,1
747,221,250,1
748,251,109,1
749,109,251,1
750,251,221,1
751,221,251,1
752,252,110,1
753,110,252,1
754,252,222,1
755,222,252,1
756,253,110,1
757,110,253,1
758,253,222,1
759,222,253,1
760,254,111,1
761,111,254,1
762,254,223,1
763,223,254,1
764,255,111,1
765,111,255,1
766,255,223,1
767,223,255,1
